"Phi","thw","theta_1","phi_1","chk11","chk21","chk22","chk31","chk32","chk33","logLike"
1,0,0.5,0.5,100,0,100,0,0,100,-12228.9279233301
1.0235457410616,-0.0331921148833547,2.13281736179273,0.493998282180482,97.7364131277699,-0.0585112179728472,97.7505686558196,0.259365548219194,-0.300003383260439,99.592051753912,-12173.867156009
1.07264414381529,-0.07496693584341,-0.77038269765182,0.483315108769738,73.6203138542409,0.696242172731325,74.2480155872154,2.36614697569407,2.20442327975663,93.1418760720616,-11864.2364934234
1.44772305654362,-0.123546292369945,-0.721381448046414,0.573498455986057,13.1746969762361,-49.4721762024282,60.8189128200824,-6.33984179129369,0.690496582237353,93.3147906637376,-11261.404479828
1.38221672326306,-0.195317934486849,-0.846509477619216,0.56347301817086,13.5391452962965,-41.4219382630992,35.9299786804471,-1.84944706253595,4.04211792562009,90.1632458398444,-10718.216598197
1.21497175351458,-0.211894784938995,0.711141483440799,0.523249687557147,11.9413361900962,-4.29153611927129,5.63106328243207,1.90797255474601,-5.862599964637,87.623219696108,-9964.20252219261
0.314749566498258,-0.0450328991214456,0.488555907342052,0.229637762294167,7.86449770922154,-4.53225558891577,5.24334079674841,-7.89289533968809,-14.1222289904408,63.91258047795,-9613.69892045669
0.390725387412232,-0.0686636467803518,0.553704248481316,0.206793536256384,6.87892480814095,-4.97915333136693,4.46169007434781,24.5111135987669,-4.93419470530886,46.0990415571156,-9057.1859374805
0.37597402923084,-0.137548687706532,0.623291866194744,0.21788477257276,6.60360141674237,-4.63294298073035,3.88254083376802,16.2420354743788,-7.95142900015134,43.822593872994,-8632.83833948646
0.363656542188331,-0.145132389236587,0.652096489811326,0.208294566543857,6.75085010656903,-4.7277965431819,3.85558193691275,16.3753500474741,-7.15529373128832,39.9744836688819,-8414.50009558098
0.361730613506415,-0.144443848075142,0.672784402261491,0.203940676990623,6.67718692895894,-4.75337829328092,3.98826822261735,14.1919125162478,-7.87521912735141,38.5823789912859,-8269.81598514763
0.295275298427941,-0.0611010395455639,0.718849841893464,0.163349511304688,7.00963068816667,-5.40278210280705,4.23467152845683,13.9650317116779,-8.31168263889321,33.9945359836003,-8123.88272012541
0.295363538232224,-0.0610887027225339,0.718904931227674,0.163343895194723,7.00893698960822,-5.40232567992844,4.23637456979934,13.9740896345097,-8.33032931713066,34.0036049224309,-8123.6075685601
0.348439209596166,-0.109615826233766,0.726273088227778,0.178665820642273,6.51035866078115,-4.97463604967853,4.56030925002987,10.7503862256943,-9.86310763107756,34.8343838322754,-8099.99124958372
0.31201809970104,-0.0589298383729255,0.730886980292302,0.16240904797831,6.63822180257565,-5.05378220916297,4.72282079900922,13.6630244738999,-11.0594469573199,35.1015682978254,-8090.18158061554
0.311791614195842,-0.0518570121757608,0.732694957814956,0.158988727972984,6.61763604114435,-5.09594019462516,4.8524045956091,13.6679322012739,-12.3654258436527,36.0248624259063,-8085.97728446158
0.309460770076519,-0.0421312392660539,0.731685799086924,0.155928787978126,6.62396114280426,-5.15417961460713,4.87145472494645,14.1057191839929,-12.7724286513855,36.970896734416,-8084.88948862049
0.313618472525093,-0.0498302269465721,0.732699361858002,0.157147774218958,6.65711920711995,-5.17588130748412,4.89644782997561,14.1878555727633,-13.0106875696406,37.076853622971,-8084.7795262332
0.313072262701541,-0.049889700802105,0.732549375791826,0.157099394118406,6.66185228030936,-5.1806491506877,4.88935640896458,14.2439257361037,-13.0434360829531,37.1315615831821,-8084.76366941081
0.313232315247494,-0.0507715680375007,0.732492779966252,0.157308758314929,6.66183516816391,-5.18082078377759,4.88558266701537,14.2722081981527,-13.0491373093231,37.1732678190206,-8084.75948304142
0.313390370679976,-0.0512093547951714,0.73249901281429,0.157420230438598,6.66059387404589,-5.18020382969127,4.88564910660853,14.283062230313,-13.0475292109817,37.1809508685963,-8084.75898284032
0.313480742017199,-0.0514306658508804,0.732502496682648,0.157473591196227,6.65972790866865,-5.17978489421846,4.88616823016596,14.285015095371,-13.046602199042,37.1802633317766,-8084.75889681849
0.313510494929789,-0.0515155232341331,0.732502186054092,0.157489357217502,6.65952438895642,-5.17965446490996,4.88641931936049,14.2847736371326,-13.0458453989869,37.1781961095289,-8084.75888265875
0.313526340399829,-0.0515721129100384,0.732500940962384,0.157497505849331,6.65949162106705,-5.1795882204764,4.8865223916552,14.2838931785244,-13.0453880153348,37.1765181466823,-8084.75887802107
0.313529772466551,-0.0515918504940985,0.732500381032988,0.15749928509174,6.65953421137735,-5.17957677118972,4.88650693678096,14.2833997618675,-13.0452324878118,37.1759353851113,-8084.75887708369
