"beta_w","theta_1","beta_1","theta_i","beta_i","phi_1","eta_i","phi_i","chk11","chk21","chk22","chk31","chk32","chk33","logLike"
1,1,1,1,1,1,1,1,10,0,10,0,0,40,-10739.8782441597
-0.0286524701329984,4.00851501453371,0.888164575920911,-3.10152640671348,1.13194639608679,6.07501844943053,-0.689742284927389,5.98152524019065,9.75290220586823,-1.53060598494511,7.8537265157729,1.18232071336518,-1.72934986513693,39.7349043202876,-10372.7072151688
-0.29767985753037,-13.9992553012281,0.57410160020478,-19.674161105395,1.1464524680503,24.1143545606153,-0.311104929495179,-1.24135495455744,9.09278700090663,-3.76252706702231,6.31384188776899,-0.385072529052207,-4.86506318548175,37.5212872046425,-9772.23256462726
-1.64058511181852,-15.7785027776941,0.552669522078072,-18.2687741522985,1.31243494236024,37.2248416621423,-0.305132923408873,-10.0044773732056,8.20451668982817,-4.03463094136641,4.98054230857908,2.49723045546469,-3.52504872182915,36.4416261223586,-9138.03035611275
-1.61357812282559,-16.0041953096802,0.556063916030894,-18.0512309178597,1.30398627730254,38.7177932068585,-0.281015357819735,-10.9274591962588,8.22519947591191,-4.10571619030981,4.97088559675566,3.13409480554532,-3.82589312936256,36.548049692861,-9034.89247032304
-1.51512269160569,-16.3116157140816,0.557942992965222,-17.7411170474284,1.29770381355214,41.6034225581513,-0.214147464438606,-13.1027716812921,8.24453062762793,-4.21955894131168,4.96139938931637,4.40469968380772,-4.4629501535648,36.7605484447021,-8850.6679060738
-1.49017950412147,-16.3757115179331,0.55704337766017,-17.6702861051045,1.29942096762301,42.950343032029,-0.196111558888893,-13.8741893952509,8.23173508043026,-4.27489195260089,4.96320876015805,5.05541238129077,-4.80943584483189,36.8715318166988,-8782.62884754821
-1.46000285441672,-16.4381489702152,0.553269814946513,-17.5921712904903,1.30779277504354,45.8005070113284,-0.158329900016887,-15.1646249462545,8.15486250693153,-4.36825366125158,4.96278883886687,6.44239907749294,-5.50719083673271,37.0841490027181,-8662.17062585694
-1.73860052952266,-17.5430294938198,0.47275390885225,-16.0312016811673,1.40715858280313,58.456160527805,-0.13561767686944,-17.2310803987085,7.17433452182254,-4.77495251589304,4.75431920226719,11.8292703658997,-6.04218173445056,35.3166435243618,-8435.86834884467
-2.08086792686693,-19.8419885343492,0.338899389486177,-12.6987453356973,1.53092570947516,63.2818666476306,-0.143241843351488,-18.3114522436133,7.05648207886438,-5.18945054749071,4.56319314497946,16.8283197984969,-7.20533204741886,34.1754042597627,-8337.13651156945
-2.27778621898506,-21.5423158617,-0.0313218859320452,-6.22024676635885,1.21536771509186,68.0311348414504,-0.110764754200487,-16.4298765047928,7.11750190647637,-6.32654680588011,4.22062952898066,24.2320703578712,-9.4222937822206,33.54568184397,-8317.35724863926
-1.22115710850372,-18.5437938683064,0.0453331758620591,-5.70865904038997,1.25415963958302,70.9069930921142,-0.0709417045770536,-10.5566755146413,7.37802915862762,-6.45449432952465,4.26277224559391,25.2602462526524,-9.12310516192958,34.2148710422321,-8265.6750323291
-1.06070269693246,-9.383363044622,0.0532389746498488,-3.8621421700124,0.627387332218239,73.4286325397453,-0.0571651345009704,-8.04263317874668,7.55385746872768,-6.63840278269658,4.27481229477675,26.1669120518327,-8.38956286270363,34.7277593739246,-8234.94640655564
-1.10846760769323,-7.90670964297565,0.0327557672972252,-3.6103605567419,0.462250085540466,73.3463767070774,-0.0586760001346378,-8.17704304203948,7.61388872687253,-6.65238156789676,4.34066874568708,26.9927021418365,-8.25402443793607,35.4387108165216,-8220.83762355417
2.52101640022868,18.5338365535579,-0.143817214487699,-0.96443143269032,-2.08437008938187,89.4785523751793,0.139472588811919,19.136205188497,7.3783651043312,-6.42594733315517,4.35277458331756,25.095863071644,-8.34323783822055,35.0566627918328,-8183.85620001089
8.51889159109404,63.664415545394,-0.118223425479928,50.2438025918534,-1.48854309760179,113.481680143753,0.453541338996892,63.0086663002096,7.15582361137731,-6.19650764430485,4.35105438952145,23.9148637938885,-8.14721834483936,33.806131382929,-8149.64120449217
9.53310442599495,52.5782236838934,0.560787908388866,118.07477082725,7.23041792275164,117.076598338915,0.422964482545379,63.0412461488459,7.23075725289335,-6.17171248773274,4.34828415194824,24.581272374109,-7.37745547139281,33.89175490295,-8127.22097245773
9.2640755743259,144.801267092748,3.05636000806446,488.066451876628,38.2164341340441,118.489456476043,0.404655488659877,63.9949083844077,6.98391425252896,-5.90475978918076,4.3443217582388,24.4883092132456,-7.76214345716401,34.2206699862538,-8086.95555950602
8.45877921427999,374.683917641854,8.36854490097426,1380.6062525811,110.555537007282,123.137045014183,0.42254061175401,69.7653408580938,6.5505453649311,-5.58424545848304,4.36839401714771,23.4328783464446,-8.03746629458951,34.2895554507997,-8037.28135620074
