"Theta","Phi","thw","logLike"
1,1,0,-3963.50382967798
1,1,0,-3963.50382967798
1,0.201028361130738,-0.399167860596208,-2690.02040110726
1,4.54759592904686,-12.1940171671803,-2637.42583844249
1,4.48782285437275,-12.0553896522998,-2635.98847146654
1,3.881860600615,-12.2335800152305,-2608.98241091855
1,3.03529060061524,-9.86965452063336,-2603.60633860781
1,2.41192573092117,-7.87732566633104,-2599.47135994387
1,1.72501442174153,-5.59904164218076,-2594.65898027971
1,1.51957787352625,-4.89375689539169,-2592.90344544746
1,1.71907859662792,-4.83187658355032,-2576.13038141918
1,1.27886530656152,-2.8368591948018,-2551.75661330891
1,1.15371139884129,-2.8443750960358,-2550.46765442841
1,0.119008606547466,0.707764448425676,-2443.78843371062
1,0.287760482819848,0.0956040832432761,-2347.58497741912
1,0.236660591942333,0.188693686583272,-2336.57042267985
1,0.171882799991149,0.332341049361396,-2334.58562748925
1,0.181043126814043,0.333696715824893,-2334.47512978775
1,0.195940995167686,0.291055234079068,-2333.75796069548
1,0.194775464837698,0.283437080504966,-2333.53045701054
1,0.194351037058563,0.283759599415126,-2333.52927869587
1,0.194356352257982,0.28375180166226,-2333.5292786004
