"Phi_1","thw_1","th1_1","th2_1","chk11_1","chk21_1","chk22_1","chk31_1","chk32_1","chk33_1","Phi_2","thw_2","th1_2","th2_2","chk11_2","chk21_2","chk22_2","chk31_2","chk32_2","chk33_2","asc_2","x_female_2","x_older45_2","logLike"
1,0,0.3,0.3,10,0,5,0,0,5,1,0,0.3,0.3,10,0,5,0,0,5,0,0,0,-14892.3521737114
0.986945372382162,-0.0187777655777332,0.303112591223096,0.308778321347606,10.1482209904135,-0.0404497502638468,5.0136436680413,-0.113840251245395,0.0476771809610688,5.01579608786708,0.986945372382162,-0.0187777655777332,0.303112591223096,0.308778321347606,10.1482209904135,-0.0404497502638468,5.0136436680413,-0.113840251245395,0.0476771809610688,5.01579608786708,1.72919803833448e-07,9.06852410333963e-08,8.965534484188e-08,-14603.2651369809
0.938318492268113,0.00843645597736966,0.315657447816315,0.349367396359099,8.00863561221724,-0.212128849702419,5.06354842509071,-0.865734355853029,-0.0302412657200034,4.72917793223905,0.938318502852883,0.00843645294132744,0.315657445318968,0.349367386306552,8.00863627152797,-0.212128821969704,5.06354841609027,-0.865734240133738,-0.0302412366698003,4.72917800012045,6.90228276851265e-07,6.07993714051212e-07,1.21019800055351e-06,-14129.5138143109
0.895351008604576,-0.0263309561233877,0.331936427850053,0.385840738854835,7.09533044084462,-0.265853216898567,5.12602160650716,-1.32282808216065,0.070838585256599,4.55360652310072,0.895351186841743,-0.026330754193189,0.331936366539765,0.38584066570057,7.09533189490173,-0.26585275440842,5.1260213051847,-1.32282686429662,0.0708383979423575,4.55360649864598,-3.22889583526439e-05,-5.16491257268458e-06,-3.94677265906599e-06,-13692.9608898723
0.830458161050099,-0.0655038914216573,0.355883347093127,0.413898272535329,6.58165535553518,-0.315195419791059,5.18301247198111,-1.90539507844214,0.0989399001223941,4.3238463618223,0.830458528567888,-0.0655022868657136,0.35588340724289,0.413901029416499,6.5816281141912,-0.315188906993455,5.18301063798145,-1.90544163303663,0.0989512205043953,4.32384446769533,-0.00378089333812338,-0.000722884003631941,-0.00083822244959151,-13199.2284789202
0.643179981488476,-0.0277267425674428,0.419602724693063,0.448129334206547,5.89843718354492,-0.379259395752475,5.11599302853909,-2.44532977631678,0.28848464626836,4.31380262885241,0.646346920223749,-0.021485755134111,0.418363135843988,0.450666909137228,5.85988720269431,-0.359203322733891,5.10462650340921,-2.48629785977749,0.306530266082023,4.29079268234147,-2.39789931208217,-0.531743014490011,-0.463200948870448,-12315.5932463676
0.570537840628301,-0.152063807966015,0.443180178543428,0.433089167925393,5.54536147379263,-0.389213608473028,5.14906481764034,-2.67152926062711,0.313610766849327,4.02606813961611,1.19287109215843,1.11559953013065,0.322997770456332,0.415467263749281,5.54454769857307,-0.446587944983309,5.55442447079262,0.564005797290386,-0.873315942143071,7.14623313104378,-33.1310065174319,-26.868581417951,-44.2421340684028,-11391.9725898295
0.437933336968217,-0.429208545293418,0.522676823561096,0.397178275004238,5.30109262183167,-0.687565447546026,4.98626928896727,-3.01248667343341,0.198644035047697,3.94571380378628,0.0934085365944359,-1.89724308588162,0.528658294087177,0.568366039510874,5.90808117038361,0.269036760625188,3.58794047987333,-6.62168974131975,1.80024108543849,-0.133340538517131,-8.36292143426617,-19.8005528451588,-30.8753626172495,-8912.47728082297
0.447144954862611,-0.39914552729424,0.555911305785023,0.395207069385144,5.3020912594398,-0.945505432228199,4.88936472767566,-3.00462226140186,-0.0021277588426428,3.79815946835646,0.0932369755839371,-1.89726934161372,0.528713197363076,0.568127519526177,5.90433880385221,0.269479378543476,3.58786824305484,-6.62402323360497,1.80040082177379,-0.128616926930354,-8.69889819178571,-19.8005528451588,-30.8753626172495,-8570.98514075928
0.467607278984527,-0.36308534578864,0.606424035417338,0.397672506746041,5.09365532569235,-1.81697075556409,4.33077546617987,-3.16472005018916,-0.512404791367665,3.58715656337555,0.093186008945678,-1.89727522200496,0.528731047287411,0.567942748336926,5.90236816031536,0.269624556544882,3.58778971042732,-6.62578799379231,1.8005212881668,-0.114431247988555,-10.1121035807313,-19.8005528451588,-30.8753626172495,-8176.81932166831
0.461586400627163,-0.37860293204758,0.611386678067735,0.395018483982295,5.07669552027899,-1.81741149982473,4.38360594802403,-3.15482418295631,-0.545017228198341,3.61444560932848,0.093177667298542,-1.89727184029574,0.528734028113386,0.567928896161817,5.90215827963797,0.269648267674427,3.58779013598843,-6.62589775130041,1.80052359579222,-0.114256833580003,-10.1397479231423,-19.8005631344567,-30.8753851654124,-8042.41110255791
