"theta_w","beta_w","lbeta_1","phi_1","chk11","chk21","chk22","logLike"
150,1,2.45,126,9.2,20,60,-8377.71996562282
152.63507040796,-1.02261675580295,2.39137221975176,136.594460856983,8.85878950778349,20.7632258167827,59.1556745426,-7883.3255835185
150.287795974013,-0.64380558035879,2.37518998556407,180.768748741637,7.85033379782002,12.9021088304368,55.5954057786123,-7285.41136269573
357.551019252884,-1.80700676422189,2.52190182707269,243.972056076107,5.59337636174833,10.95400486904,47.8312979025655,-6754.12211159035
601.622061785579,-1.93273190788175,2.73319828500549,252.126714591541,5.49976995754391,24.0077880295458,44.0960625870602,-6626.51923321918
529.330614074342,-1.28383805782734,2.71241297278584,256.971268635851,5.75997719396605,31.9200640671102,42.516688693404,-6576.17939571195
464.665022092131,0.882745584873839,2.68892854305934,267.294874702531,5.98509001434646,38.2743093140981,41.3128443198723,-6546.84974303576
428.004887607683,3.77685373493251,2.68333320660608,279.626890251064,6.18920183467701,43.3905997943909,40.7984568559742,-6529.18725590455
384.565537971624,6.27489218294632,2.6848713929561,292.650773623518,6.40970044663184,47.2936867957563,40.6465974615246,-6518.43639910373
442.92713848389,5.5482070913575,2.73389972774144,298.580369017313,6.41632239473228,46.0616904657934,41.132820690572,-6488.52571886221
603.833318857076,5.09329541132483,2.84647878319957,303.385082369673,6.54782396147036,46.6117195396977,41.628793266753,-6464.32885428596
778.05260444161,4.56991629402224,2.94511103028183,307.324332135974,6.55355618273611,45.9668020480026,42.2817974630005,-6441.21479904403
980.824778271014,4.14182381645403,3.04473169664027,310.666300997299,6.56262429920332,45.5918717550984,42.9651660225275,-6419.8260539523
1210.44561761606,3.76302037595509,3.14260503229518,313.719017334758,6.54983537020637,45.1769273048341,43.663788882107,-6399.6990663502
1470.05753758953,3.44840332048217,3.23991691886598,316.576119463216,6.53088229942065,44.8768947571935,44.355707645996,-6380.84541074348
1758.50382968532,3.1954271009451,3.33522895954563,319.22472202265,6.50531839574589,44.6591266682646,45.0419488482283,-6363.17220497056
2073.62995910582,3.01818513405938,3.42745853518661,321.616046012223,6.47892385619185,44.5562911417887,45.7248506551157,-6346.69325069396
2409.94705193108,2.93659908623992,3.51490662474199,323.68781380037,6.45481972614399,44.5667753762997,46.4117249805488,-6331.41682080655
2759.85730091917,2.98353730032712,3.59605566701865,325.398340275143,6.43698235332139,44.6988333551326,47.1082837269811,-6317.38571579381
3113.7518627555,3.19984906025683,3.66950936947055,326.736893521726,6.42775512696638,44.9460509319616,47.8182036798256,-6304.64234219715
3461.77344749467,3.63070688576643,3.73435649803182,327.731953351459,6.42836152877927,45.2974570398541,48.5404584489582,-6293.23104166229
4199.64779564685,5.16686025003304,3.86035966645098,329.634247534045,6.47319465755065,46.475456520617,50.5128712177353,-6275.55415408495
4690.56268774012,6.70876314057356,3.93017781146587,331.85380859455,6.43345628219338,46.2911243612237,52.1860721896448,-6264.65528895109
