"Phi","thw","logLike"
1,0,-19644.9849631624
0.936607926261305,-0.0783115774039732,-19055.3135024282
0.630718202582108,0.0794486807866619,-18343.7648175124
0.615243928388031,-0.0396742625678877,-18303.9028934038
0.615775988566118,0.030921167555045,-18297.2787808846
0.640743914723254,-0.0393178419576841,-18291.2197883121
0.652623312154498,-0.0574103505103734,-18290.7381227717
0.664246496556277,-0.0721726646890502,-18290.55552614
0.664140325204959,-0.0729508460818402,-18290.5463837234
0.664834388053373,-0.0742136173115493,-18290.5443406304
0.66546540567964,-0.0754779994855904,-18290.5435295592
0.665459262870363,-0.0754729710775153,-18290.5435293894
